DrugID,ProteinID,InteractionType,edge_label
DB01598,P62593,2,Enzyme
DB01598,Q93LQ9,2,Enzyme
DB01601,P05177,2,Enzyme
DB01601,P08684,2,Enzyme
DB01601,P10635,2,Enzyme
DB01601,P11712,2,Enzyme
DB01601,P20813,2,Enzyme
DB01601,P33261,2,Enzyme
DB01609,O60656,2,Enzyme
DB01609,P05177,2,Enzyme
DB01609,P08684,2,Enzyme
DB01609,P10632,2,Enzyme
DB01609,P22309,2,Enzyme
DB01609,P35503,2,Enzyme
DB01611,P08684,2,Enzyme
DB01611,P10632,2,Enzyme
DB01611,P10635,2,Enzyme
DB01612,P05091,2,Enzyme
DB01621,P08684,2,Enzyme
DB01621,P10635,2,Enzyme
DB01621,P33261,2,Enzyme
DB01623,P05177,2,Enzyme
DB01623,P10635,2,Enzyme
DB01624,P08684,2,Enzyme
DB01624,P10635,2,Enzyme
DB01628,P05177,2,Enzyme
DB01628,P05181,2,Enzyme
DB01628,P08684,2,Enzyme
DB01628,P10635,2,Enzyme
DB01628,P11712,2,Enzyme
DB01628,P33261,2,Enzyme
DB01656,P08684,2,Enzyme
DB01698,P08684,2,Enzyme
DB01708,O00204,2,Enzyme
DB01708,P05093,2,Enzyme
DB01708,P14060,2,Enzyme
DB01708,P14061,2,Enzyme
DB01708,P22637,2,Enzyme
DB01708,P24462,2,Enzyme
DB01708,Q06520,2,Enzyme
DB01764,P08684,2,Enzyme
DB01914,P19367,2,Enzyme
DB01914,P35557,2,Enzyme
DB01956,O95932,2,Enzyme
DB01956,Q14032,2,Enzyme
DB01987,P20906,2,Enzyme
DB01987,P37063,2,Enzyme
DB02300,P05164,2,Enzyme
DB02300,Q07973,2,Enzyme
DB02701,P05181,2,Enzyme
DB02701,P08684,2,Enzyme
DB02701,P10635,2,Enzyme
DB02703,P08684,2,Enzyme
DB02703,P10635,2,Enzyme
DB02703,P22309,2,Enzyme
DB02789,P08684,2,Enzyme
DB03088,P04746,2,Enzyme
DB03147,P27338,2,Enzyme
DB03247,P16435,2,Enzyme
DB03615,P9WQG9,2,Enzyme
DB03756,P11712,2,Enzyme
DB04339,P00439,2,Enzyme
DB04339,Q16878,2,Enzyme
DB04339,Q9UNP4,2,Enzyme
DB04572,P06276,2,Enzyme
DB04572,P08684,2,Enzyme
DB04572,P20813,2,Enzyme
DB04574,P05177,2,Enzyme
DB04574,P08684,2,Enzyme
DB04574,P11712,2,Enzyme
DB04794,P05181,2,Enzyme
DB04794,P08684,2,Enzyme
DB04794,P11511,2,Enzyme
DB04835,P08684,2,Enzyme
DB04838,P08684,2,Enzyme
DB04839,P08684,2,Enzyme
DB04839,P11511,2,Enzyme
DB04840,P04798,2,Enzyme
DB04840,P10635,2,Enzyme
DB04841,P04798,2,Enzyme
DB04841,P05177,2,Enzyme
DB04841,P08684,2,Enzyme
DB04841,P10635,2,Enzyme
DB04841,P11509,2,Enzyme
DB04841,P11712,2,Enzyme
DB04842,P08684,2,Enzyme
DB04844,P10635,2,Enzyme
DB04844,P16152,2,Enzyme
DB04845,P08684,2,Enzyme
DB04846,P10635,2,Enzyme
DB04854,O60656,2,Enzyme
DB04854,P05177,2,Enzyme
DB04854,P10632,2,Enzyme
DB04854,P11712,2,Enzyme
DB04854,P16662,2,Enzyme
DB04854,P22309,2,Enzyme
DB04854,P35503,2,Enzyme
DB04855,P08684,2,Enzyme
DB04855,P10635,2,Enzyme
DB04855,P20815,2,Enzyme
DB04855,P51589,2,Enzyme
DB04861,P08684,2,Enzyme
DB04861,P10635,2,Enzyme
DB04861,P33261,2,Enzyme
DB04868,P08684,2,Enzyme
DB04868,P10632,2,Enzyme
DB04868,P10635,2,Enzyme
DB04868,P11712,2,Enzyme
DB04868,P20813,2,Enzyme
DB04871,P04798,2,Enzyme
DB04871,P05177,2,Enzyme
DB04871,P08684,2,Enzyme
DB04871,P10635,2,Enzyme
DB04871,P11509,2,Enzyme
DB04871,P20813,2,Enzyme
DB04871,P33261,2,Enzyme
DB04871,Q01740,2,Enzyme
DB04896,P08684,2,Enzyme
DB04908,P08684,2,Enzyme
DB04920,P05181,2,Enzyme
DB04920,P06276,2,Enzyme
DB04920,P08684,2,Enzyme
DB04920,P10635,2,Enzyme
DB04920,P11712,2,Enzyme
DB04920,P33261,2,Enzyme
DB04930,P20813,2,Enzyme
DB04938,P08684,2,Enzyme
DB04938,P10635,2,Enzyme
DB04938,P11712,2,Enzyme
DB04938,P20813,2,Enzyme
DB04938,P33261,2,Enzyme
DB04946,P05181,2,Enzyme
DB04946,P08684,2,Enzyme
DB04946,P10635,2,Enzyme
DB04946,P20815,2,Enzyme
DB04946,P24462,2,Enzyme
DB04948,P05177,2,Enzyme
DB04948,P10635,2,Enzyme
DB04948,P33261,2,Enzyme
DB04951,P05177,2,Enzyme
DB04951,P05181,2,Enzyme
DB04951,P10635,2,Enzyme
DB04951,P11712,2,Enzyme
DB04951,P33261,2,Enzyme
DB04953,O60656,2,Enzyme
DB04953,P11245,2,Enzyme
DB04953,P22309,2,Enzyme
DB04953,P22310,2,Enzyme
DB04953,P35503,2,Enzyme
DB05015,P05177,2,Enzyme
DB05015,P08684,2,Enzyme
DB05015,P10632,2,Enzyme
DB05015,P11712,2,Enzyme
DB05015,P22309,2,Enzyme
DB05016,O60656,2,Enzyme
DB05016,Q4U2R8,2,Enzyme
DB05016,Q8TCC7,2,Enzyme
DB05016,Q9NPD5,2,Enzyme
DB05018,P22309,2,Enzyme
DB05039,P08684,2,Enzyme
DB05039,P22309,2,Enzyme
DB05057,P00813,2,Enzyme
DB05109,P05181,2,Enzyme
DB05109,P08684,2,Enzyme
DB05109,P10635,2,Enzyme
DB05109,P11712,2,Enzyme
DB05109,P23219,2,Enzyme
DB05109,P33261,2,Enzyme
DB05154,P08684,2,Enzyme
DB05154,P9WP15,2,Enzyme
DB05219,P10632,2,Enzyme
DB05219,P11712,2,Enzyme
DB05219,P20813,2,Enzyme
DB05239,P08183,2,Enzyme
DB05239,P08684,2,Enzyme
DB05246,P33261,2,Enzyme
DB05271,P08684,2,Enzyme
DB05271,P10635,2,Enzyme
DB05271,P33261,2,Enzyme
DB05294,P08684,2,Enzyme
DB05294,P31513,2,Enzyme
DB05294,Q01740,2,Enzyme
DB05316,P08684,2,Enzyme
DB05316,P10635,2,Enzyme
DB05316,P20815,2,Enzyme
DB05316,P51589,2,Enzyme
DB05351,P08684,2,Enzyme
DB05351,P33261,2,Enzyme
DB05381,P50135,2,Enzyme
DB05541,P08684,2,Enzyme
DB05541,P11712,2,Enzyme
DB05541,P20813,2,Enzyme
DB05541,P33261,2,Enzyme
DB05667,P05093,2,Enzyme
DB05667,P08684,2,Enzyme
DB05667,P08686,2,Enzyme
DB05667,P15538,2,Enzyme
DB05667,P20815,2,Enzyme
DB05667,Q16850,2,Enzyme
DB05676,P05177,2,Enzyme
DB05676,P08684,2,Enzyme
DB05676,P11509,2,Enzyme
DB05812,P05177,2,Enzyme
DB05812,P08684,2,Enzyme
DB05812,P10632,2,Enzyme
DB05812,P10635,2,Enzyme
DB05812,P11712,2,Enzyme
DB05812,P33261,2,Enzyme
DB05812,Q06520,2,Enzyme
DB05990,P05177,2,Enzyme
DB06016,P08684,2,Enzyme
DB06016,P10635,2,Enzyme
DB06077,O60218,2,Enzyme
DB06077,P05177,2,Enzyme
DB06077,P08684,2,Enzyme
DB06077,P10632,2,Enzyme
DB06077,P17516,2,Enzyme
DB06077,P22309,2,Enzyme
DB06077,P22310,2,Enzyme
DB06077,P54855,2,Enzyme
DB06077,Q04828,2,Enzyme
DB06119,P05181,2,Enzyme
DB06119,P06133,2,Enzyme
DB06119,P08684,2,Enzyme
DB06119,P10632,2,Enzyme
DB06119,P11509,2,Enzyme
DB06119,P16662,2,Enzyme
DB06119,P20813,2,Enzyme
DB06119,P20815,2,Enzyme
DB06119,P33261,2,Enzyme
DB06137,P05177,2,Enzyme
DB06137,P08684,2,Enzyme
DB06137,P10632,2,Enzyme
DB06137,P10635,2,Enzyme
DB06137,P11712,2,Enzyme
DB06137,P20813,2,Enzyme
DB06137,P33261,2,Enzyme
DB06147,P11511,2,Enzyme
DB06148,P05177,2,Enzyme
DB06148,P08684,2,Enzyme
DB06148,P10635,2,Enzyme
DB06148,P20813,2,Enzyme
DB06150,P11712,2,Enzyme
DB06151,Q03154,2,Enzyme
DB06152,P08684,2,Enzyme
DB06152,P21964,2,Enzyme
DB06153,P36537,2,Enzyme
DB06154,P05091,2,Enzyme
DB06154,P29474,2,Enzyme
DB06154,P33402,2,Enzyme
DB06155,P08684,2,Enzyme
DB06174,P08684,2,Enzyme
DB06174,P11712,2,Enzyme
DB06176,P04798,2,Enzyme
DB06176,P08684,2,Enzyme
DB06176,P20813,2,Enzyme
DB06176,P20815,2,Enzyme
DB06176,P33261,2,Enzyme
DB06201,P05181,2,Enzyme
DB06201,P08684,2,Enzyme
DB06201,P23141,2,Enzyme
DB06203,P08684,2,Enzyme
DB06203,P10635,2,Enzyme
DB06204,O60656,2,Enzyme
DB06204,P10635,2,Enzyme
DB06204,P11712,2,Enzyme
DB06204,P16662,2,Enzyme
DB06204,P33261,2,Enzyme
DB06207,P05091,2,Enzyme
DB06207,P08684,2,Enzyme
DB06207,P14550,2,Enzyme
DB06207,P16662,2,Enzyme
DB06209,O00748,2,Enzyme
DB06209,P08684,2,Enzyme
DB06209,P11712,2,Enzyme
DB06209,P20813,2,Enzyme
DB06209,P33261,2,Enzyme
DB06210,O60656,2,Enzyme
DB06210,P05177,2,Enzyme
DB06210,P10632,2,Enzyme
DB06210,P22309,2,Enzyme
DB06210,P35503,2,Enzyme
DB06211,P16444,2,Enzyme
DB06212,P08684,2,Enzyme
DB06216,P05177,2,Enzyme
DB06216,P08684,2,Enzyme
DB06216,P10635,2,Enzyme
DB06216,P22310,2,Enzyme
DB06217,P10635,2,Enzyme
DB06218,P08684,2,Enzyme
DB06218,P11712,2,Enzyme
DB06218,P33261,2,Enzyme
DB06228,P08684,2,Enzyme
DB06228,P20815,2,Enzyme
DB06228,P51589,2,Enzyme
DB06237,P08684,2,Enzyme
DB06237,P11712,2,Enzyme
DB06262,P20711,2,Enzyme
DB06267,P08684,2,Enzyme
DB06267,P20815,2,Enzyme
DB06282,P08684,2,Enzyme
DB06290,P05177,2,Enzyme
DB06290,P08684,2,Enzyme
DB06292,O60656,2,Enzyme
DB06292,P04798,2,Enzyme
DB06292,P05177,2,Enzyme
DB06292,P06133,2,Enzyme
DB06292,P08684,2,Enzyme
DB06292,P10635,2,Enzyme
DB06292,P11509,2,Enzyme
DB06292,P11712,2,Enzyme
DB06292,P16662,2,Enzyme
DB06335,P08684,2,Enzyme
DB06335,P20815,2,Enzyme
DB06401,P22310,2,Enzyme
DB06401,Q9HAW8,2,Enzyme
DB06401,Q9HAW9,2,Enzyme
DB06403,O60656,2,Enzyme
DB06403,P08684,2,Enzyme
DB06403,P16662,2,Enzyme
DB06403,P20815,2,Enzyme
DB06403,P33261,2,Enzyme
DB06403,P35503,2,Enzyme
DB06410,Q02318,2,Enzyme
DB06413,P05177,2,Enzyme
DB06413,P08684,2,Enzyme
DB06413,P11712,2,Enzyme
DB06413,P20813,2,Enzyme
DB06413,P20815,2,Enzyme
DB06413,P33261,2,Enzyme
DB06414,P08684,2,Enzyme
DB06414,P11712,2,Enzyme
DB06414,P33261,2,Enzyme
DB06448,P05177,2,Enzyme
DB06448,P05181,2,Enzyme
DB06448,P08684,2,Enzyme
DB06448,P10632,2,Enzyme
DB06448,P11509,2,Enzyme
DB06448,P11712,2,Enzyme
DB06448,P20815,2,Enzyme
DB06448,P33261,2,Enzyme
DB06480,P08684,2,Enzyme
DB06589,P05177,2,Enzyme
DB06589,P08684,2,Enzyme
DB06589,P10632,2,Enzyme
DB06589,P10635,2,Enzyme
DB06594,P05177,2,Enzyme
DB06594,P11712,2,Enzyme
DB06595,P05177,2,Enzyme
DB06595,P05181,2,Enzyme
DB06595,P08684,2,Enzyme
DB06595,P10632,2,Enzyme
DB06595,P10635,2,Enzyme
DB06595,P11712,2,Enzyme
DB06595,P20813,2,Enzyme
DB06595,P20815,2,Enzyme
DB06595,P24462,2,Enzyme
DB06595,P33261,2,Enzyme
DB06595,Q9HB55,2,Enzyme
DB06603,P08684,2,Enzyme
DB06603,P10635,2,Enzyme
DB06605,P05177,2,Enzyme
DB06605,P08684,2,Enzyme
DB06605,P10632,2,Enzyme
DB06605,P11712,2,Enzyme
DB06605,P20815,2,Enzyme
DB06605,P33261,2,Enzyme
DB06605,P51589,2,Enzyme
DB06608,C6KT68,2,Enzyme
DB06608,P10635,2,Enzyme
DB06616,P08684,2,Enzyme
DB06616,P10632,2,Enzyme
DB06626,P05177,2,Enzyme
DB06626,P08684,2,Enzyme
DB06626,P20815,2,Enzyme
DB06626,P22309,2,Enzyme
DB06626,P33261,2,Enzyme
DB06636,P08684,2,Enzyme
DB06637,P05181,2,Enzyme
DB06654,P04798,2,Enzyme
DB06654,P05177,2,Enzyme
DB06654,P08684,2,Enzyme
DB06654,P10635,2,Enzyme
DB06654,P20815,2,Enzyme
DB06654,P21397,2,Enzyme
DB06654,P33261,2,Enzyme
DB06684,P08684,2,Enzyme
DB06684,P10635,2,Enzyme
DB06684,P33261,2,Enzyme
DB06691,P10635,2,Enzyme
DB06695,O00748,2,Enzyme
DB06695,O60656,2,Enzyme
DB06695,P16083,2,Enzyme
DB06695,P16662,2,Enzyme
DB06695,P23141,2,Enzyme
DB06695,P54855,2,Enzyme
DB06697,P08684,2,Enzyme
DB06697,P11712,2,Enzyme
DB06697,P20813,2,Enzyme
DB06697,P20815,2,Enzyme
DB06697,P33261,2,Enzyme
DB06700,P08684,2,Enzyme
DB06700,P10635,2,Enzyme
DB06701,Q7SIA5,2,Enzyme
DB06702,P08684,2,Enzyme
DB06702,P10635,2,Enzyme
DB06708,P08684,2,Enzyme
DB06708,P10635,2,Enzyme
DB06710,P08684,2,Enzyme
DB06710,P11511,2,Enzyme
DB06710,P20813,2,Enzyme
DB06712,P05181,2,Enzyme
DB06712,P08684,2,Enzyme
DB06712,P10632,2,Enzyme
DB06712,P11509,2,Enzyme
DB06712,P33261,2,Enzyme
DB06713,P08684,2,Enzyme
DB06713,P08842,2,Enzyme
DB06717,P08684,2,Enzyme
DB06717,P11712,2,Enzyme
DB06725,P11712,2,Enzyme
DB06729,P10632,2,Enzyme
DB06729,P10635,2,Enzyme
DB06729,P11712,2,Enzyme
DB06729,P20813,2,Enzyme
DB06736,P11712,2,Enzyme
DB06742,P08684,2,Enzyme
DB06755,Q9HAY6,2,Enzyme
DB06756,O43272,2,Enzyme
DB06756,P06276,2,Enzyme
DB06762,P08684,2,Enzyme
DB06769,P05177,2,Enzyme
DB06770,P04798,2,Enzyme
DB06770,P05091,2,Enzyme
DB06770,P05177,2,Enzyme
DB06770,P05181,2,Enzyme
DB06770,P10632,2,Enzyme
DB06770,P10635,2,Enzyme
DB06771,P05177,2,Enzyme
DB06774,P05164,2,Enzyme
DB06774,P05177,2,Enzyme
DB06774,P05181,2,Enzyme
DB06774,P06276,2,Enzyme
DB06774,P08684,2,Enzyme
DB06774,P09172,2,Enzyme
DB06774,P15104,2,Enzyme
DB06774,P21397,2,Enzyme
DB06774,P35354,2,Enzyme
DB06777,P08684,2,Enzyme
DB06777,P16662,2,Enzyme
DB06777,Q02318,2,Enzyme
DB06780,P08684,2,Enzyme
DB06781,P08684,2,Enzyme
DB06789,P08684,2,Enzyme
DB06789,P20815,2,Enzyme
DB06789,P33261,2,Enzyme
DB06803,P05177,2,Enzyme
DB06803,P11712,2,Enzyme
DB06813,Q05932,2,Enzyme
DB06817,P22309,2,Enzyme
DB06819,P10635,2,Enzyme
DB06820,P05177,2,Enzyme
DB06820,P10635,2,Enzyme
DB06820,P11712,2,Enzyme
DB06823,P05164,2,Enzyme
DB07565,P00484,2,Enzyme
DB08439,P08684,2,Enzyme
DB08439,P11712,2,Enzyme
DB08815,P08684,2,Enzyme
DB08816,P08684,2,Enzyme
DB08816,P11712,2,Enzyme
DB08816,P20813,2,Enzyme
DB08816,P20815,2,Enzyme
DB08819,P35354,2,Enzyme
DB08820,P08684,2,Enzyme
DB08820,P20815,2,Enzyme
DB08822,P10632,2,Enzyme
DB08822,P11712,2,Enzyme
DB08822,P20813,2,Enzyme
DB08826,P19224,2,Enzyme
DB08827,P08684,2,Enzyme
DB08828,P08684,2,Enzyme
DB08828,P10632,2,Enzyme
DB08828,P11712,2,Enzyme
DB08828,P33261,2,Enzyme
DB08860,P10632,2,Enzyme
DB08860,P11712,2,Enzyme
DB08860,P16662,2,Enzyme
DB08860,P35503,2,Enzyme
DB08864,P05181,2,Enzyme
DB08864,P08684,2,Enzyme
DB08864,P10632,2,Enzyme
DB08864,P10635,2,Enzyme
DB08864,P11712,2,Enzyme
DB08864,P20813,2,Enzyme
DB08864,P33261,2,Enzyme
DB08865,P08684,2,Enzyme
DB08865,P20813,2,Enzyme
DB08865,P20815,2,Enzyme
DB08867,P05177,2,Enzyme
DB08867,P08684,2,Enzyme
DB08868,P05181,2,Enzyme
DB08868,P78329,2,Enzyme
DB08868,Q9NYA1,2,Enzyme
DB08875,P08684,2,Enzyme
DB08875,P10632,2,Enzyme
DB08875,P11712,2,Enzyme
DB08877,P08684,2,Enzyme
DB08877,P11712,2,Enzyme
DB08880,P05177,2,Enzyme
DB08880,P10632,2,Enzyme
DB08881,P05177,2,Enzyme
DB08881,P08684,2,Enzyme
DB08881,P10632,2,Enzyme
DB08881,P10635,2,Enzyme
DB08881,P11712,2,Enzyme
DB08881,P20813,2,Enzyme
DB08882,P08684,2,Enzyme
DB08883,P05177,2,Enzyme
DB08883,P08684,2,Enzyme
DB08883,P20813,2,Enzyme
DB08883,P20815,2,Enzyme
DB08893,P06276,2,Enzyme
DB08893,P08684,2,Enzyme
DB08893,P10635,2,Enzyme
DB08893,P16662,2,Enzyme
DB08893,P35503,2,Enzyme
DB08893,Q9HAW9,2,Enzyme
DB08895,P08684,2,Enzyme
DB08895,P33261,2,Enzyme
DB08896,O60656,2,Enzyme
DB08896,P08684,2,Enzyme
DB08896,P10632,2,Enzyme
DB08896,P11712,2,Enzyme
DB08896,P20813,2,Enzyme
DB08896,P22309,2,Enzyme
DB08896,P33261,2,Enzyme
DB08897,P06276,2,Enzyme
DB08899,P08684,2,Enzyme
DB08899,P10632,2,Enzyme
DB08899,P11712,2,Enzyme
DB08899,P20813,2,Enzyme
DB08899,P20815,2,Enzyme
DB08899,P33261,2,Enzyme
DB08901,P08684,2,Enzyme
DB08901,P10632,2,Enzyme
DB08901,P10635,2,Enzyme
DB08901,P20815,2,Enzyme
DB08903,P08684,2,Enzyme
DB08906,P08684,2,Enzyme
DB08906,P10632,2,Enzyme
DB08906,P20815,2,Enzyme
DB08906,P24462,2,Enzyme
DB08907,O60656,2,Enzyme
DB08907,P06133,2,Enzyme
DB08907,P08684,2,Enzyme
DB08909,P08684,2,Enzyme
DB08909,P10635,2,Enzyme
DB08909,P16233,2,Enzyme
DB08910,P05177,2,Enzyme
DB08910,P08684,2,Enzyme
DB08911,P08684,2,Enzyme
DB08911,P10632,2,Enzyme
DB08912,P05177,2,Enzyme
DB08912,P08684,2,Enzyme
DB08912,P10632,2,Enzyme
DB08912,P11712,2,Enzyme
DB08912,P20813,2,Enzyme
DB08912,P33261,2,Enzyme
DB08918,P08684,2,Enzyme
DB08918,P10632,2,Enzyme
DB08918,P10635,2,Enzyme
DB08918,P33261,2,Enzyme
DB08918,P51589,2,Enzyme
DB08930,O60656,2,Enzyme
DB08930,P22309,2,Enzyme
DB08930,P35503,2,Enzyme
DB08931,P04798,2,Enzyme
DB08931,P08684,2,Enzyme
DB08931,P10632,2,Enzyme
DB08931,P51589,2,Enzyme
DB08932,P08684,2,Enzyme
DB08932,P33261,2,Enzyme
DB08933,P08684,2,Enzyme
DB08933,P33261,2,Enzyme
DB08934,P10619,2,Enzyme
DB08934,P15531,2,Enzyme
DB08934,P30085,2,Enzyme
DB08934,P49773,2,Enzyme
DB08995,P04798,2,Enzyme
DB08995,P05181,2,Enzyme
DB08995,P08684,2,Enzyme
DB08995,P11712,2,Enzyme
DB09019,Q9BYF1,2,Enzyme
DB09026,P08684,2,Enzyme
DB09030,P08684,2,Enzyme
DB09030,P51589,2,Enzyme
DB09031,Q13393,2,Enzyme
DB09034,P08684,2,Enzyme
DB09038,O60656,2,Enzyme
DB09038,P16662,2,Enzyme
DB09038,P35503,2,Enzyme
DB09038,Q9HAW9,2,Enzyme
DB09039,P08684,2,Enzyme
DB09039,P10635,2,Enzyme
DB09042,P21397,2,Enzyme
DB09042,P27338,2,Enzyme
DB09048,P08684,2,Enzyme
DB09048,P10635,2,Enzyme
DB09048,P11712,2,Enzyme
DB09048,Q9HB55,2,Enzyme
DB09049,P08684,2,Enzyme
DB09049,P10635,2,Enzyme
DB09049,P33261,2,Enzyme
DB09053,P08684,2,Enzyme
DB09053,P10635,2,Enzyme
DB09053,P20815,2,Enzyme
DB09054,P08684,2,Enzyme
DB09054,P10632,2,Enzyme
DB09054,P20813,2,Enzyme
DB09054,P20815,2,Enzyme
DB09054,P22310,2,Enzyme
DB09054,P24462,2,Enzyme
DB09054,P33261,2,Enzyme
DB09054,Q06278,2,Enzyme
DB09054,Q9HB55,2,Enzyme
DB09061,F1T0I5,2,Enzyme
DB09061,O00519,2,Enzyme
DB09061,P04798,2,Enzyme
DB09061,P08684,2,Enzyme
DB09061,P09917,2,Enzyme
DB09061,P10635,2,Enzyme
DB09061,P11712,2,Enzyme
DB09061,P16050,2,Enzyme
DB09061,P20815,2,Enzyme
DB09061,P33261,2,Enzyme
DB09061,Q08257,2,Enzyme
DB09063,P08684,2,Enzyme
DB09063,P11712,2,Enzyme
DB09065,P08684,2,Enzyme
DB09065,P10635,2,Enzyme
DB09065,P20815,2,Enzyme
DB09065,P24462,2,Enzyme
DB09065,Q9HB55,2,Enzyme
DB09068,P08684,2,Enzyme
DB09068,P10632,2,Enzyme
DB09068,P10635,2,Enzyme
DB09068,P11509,2,Enzyme
DB09068,P11712,2,Enzyme
DB09068,P20813,2,Enzyme
DB09068,P20815,2,Enzyme
DB09068,P33261,2,Enzyme
DB09070,P08842,2,Enzyme
DB09070,P14060,2,Enzyme
DB09070,P26439,2,Enzyme
DB09070,P50225,2,Enzyme
DB09071,P05177,2,Enzyme
DB09071,P08684,2,Enzyme
DB09073,P08684,2,Enzyme
DB09073,Q06520,2,Enzyme
DB09074,P08684,2,Enzyme
DB09074,P20813,2,Enzyme
DB09074,P20815,2,Enzyme
DB09076,P10635,2,Enzyme
DB09078,P05177,2,Enzyme
DB09078,P08684,2,Enzyme
DB09078,P10632,2,Enzyme
DB09078,P10635,2,Enzyme
DB09078,P11712,2,Enzyme
DB09078,P20813,2,Enzyme
DB09078,P33261,2,Enzyme
DB09078,Q06278,2,Enzyme
DB09079,P08684,2,Enzyme
DB09079,P22309,2,Enzyme
DB09079,Q9HAW7,2,Enzyme
DB09079,Q9HAW8,2,Enzyme
DB09079,Q9HAW9,2,Enzyme
DB09080,P10632,2,Enzyme
DB09080,P11712,2,Enzyme
DB09082,P08684,2,Enzyme
DB09083,P08684,2,Enzyme
DB09089,P08684,2,Enzyme
DB09090,P08684,2,Enzyme
DB09096,P04040,2,Enzyme
DB09101,P08684,2,Enzyme
DB09101,P22309,2,Enzyme
DB09102,P08684,2,Enzyme
DB09102,P20815,2,Enzyme
DB09102,P24462,2,Enzyme
DB09102,Q9HB55,2,Enzyme
DB09110,P00390,2,Enzyme
DB09117,P05091,2,Enzyme
DB09118,P05177,2,Enzyme
DB09118,P08684,2,Enzyme
DB09118,P10635,2,Enzyme
DB09118,P11712,2,Enzyme
DB09118,P33261,2,Enzyme
DB09119,P08684,2,Enzyme
DB09119,P22309,2,Enzyme
DB09119,P33261,2,Enzyme
DB09120,P05177,2,Enzyme
DB09120,P05181,2,Enzyme
DB09120,P11712,2,Enzyme
DB09120,P33261,2,Enzyme
DB09123,P08684,2,Enzyme
DB09128,P08684,2,Enzyme
DB09128,P10635,2,Enzyme
DB09143,P08684,2,Enzyme
DB09148,P51589,2,Enzyme
DB09148,P78329,2,Enzyme
DB09167,P05177,2,Enzyme
DB09167,P10635,2,Enzyme
DB09167,P11712,2,Enzyme
DB09167,P33261,2,Enzyme
DB09183,P08684,2,Enzyme
DB09183,P10632,2,Enzyme
DB09183,P10635,2,Enzyme
DB09183,P22309,2,Enzyme
DB09195,P08684,2,Enzyme
DB09195,P10635,2,Enzyme
DB09205,P06276,2,Enzyme
DB09212,P16152,2,Enzyme
DB09212,P16662,2,Enzyme
DB09213,D6RB81,2,Enzyme
DB09213,O60656,2,Enzyme
DB09213,P06133,2,Enzyme
DB09213,P10632,2,Enzyme
DB09213,P11712,2,Enzyme
DB09213,P16662,2,Enzyme
DB09213,P22309,2,Enzyme
DB09213,P33261,2,Enzyme
DB09213,P35503,2,Enzyme
DB09214,P23219,2,Enzyme
DB09214,P35354,2,Enzyme
DB09216,P08684,2,Enzyme
DB09236,P08684,2,Enzyme
DB09237,P08684,2,Enzyme
DB09237,P29474,2,Enzyme
DB09237,P35228,2,Enzyme
DB09238,P04798,2,Enzyme
DB09238,P08684,2,Enzyme
DB09238,P10635,2,Enzyme
DB09238,P11712,2,Enzyme
DB09238,P20813,2,Enzyme
DB09238,P33261,2,Enzyme
DB09256,P05177,2,Enzyme
DB09256,P05181,2,Enzyme
DB09256,P10632,2,Enzyme
DB09256,P11509,2,Enzyme
DB09256,P20815,2,Enzyme
DB09268,A0A0H2Z368,2,Enzyme
DB09269,P23141,2,Enzyme
DB09274,O60656,2,Enzyme
DB09274,P11509,2,Enzyme
DB09274,P16662,2,Enzyme
DB09280,P08684,2,Enzyme
DB09280,P10632,2,Enzyme
DB09280,P11712,2,Enzyme
DB09280,P20813,2,Enzyme
DB09280,P33261,2,Enzyme
DB09282,O76074,2,Enzyme
DB09282,P33402,2,Enzyme
DB09291,P08684,2,Enzyme
DB09291,P10635,2,Enzyme
DB09297,P08684,2,Enzyme
DB09297,P20815,2,Enzyme
DB09297,P22309,2,Enzyme
DB09299,P00568,2,Enzyme
DB09299,P08684,2,Enzyme
DB09299,P10619,2,Enzyme
DB09299,P15531,2,Enzyme
DB09299,P22392,2,Enzyme
DB09299,P23141,2,Enzyme
DB09299,P54819,2,Enzyme
DB09301,P07686,2,Enzyme
DB09301,P08236,2,Enzyme
DB09301,P15848,2,Enzyme
DB09301,P22304,2,Enzyme
DB09301,P34059,2,Enzyme
DB09301,P35475,2,Enzyme
DB09330,P05177,2,Enzyme
DB09330,P08684,2,Enzyme
DB09340,P08236,2,Enzyme
DB09342,P23141,2,Enzyme
DB09351,P10635,2,Enzyme
DB09371,P08684,2,Enzyme
DB09374,O75874,2,Enzyme
DB09374,O94925,2,Enzyme
DB09378,P08684,2,Enzyme
DB09383,P08684,2,Enzyme
DB09383,P20815,2,Enzyme
DB09389,P08684,2,Enzyme
DB09389,P11511,2,Enzyme
DB09462,P00352,2,Enzyme
DB09462,P05181,2,Enzyme
DB09502,P19367,2,Enzyme
DB09570,P05177,2,Enzyme
DB09570,P08684,2,Enzyme
DB09570,P10632,2,Enzyme
DB09570,P10635,2,Enzyme
DB09570,P11712,2,Enzyme
DB09570,P20813,2,Enzyme
DB09570,P33261,2,Enzyme
DB09571,P11086,2,Enzyme
DB11094,O15528,2,Enzyme
DB11094,P08684,2,Enzyme
DB11094,Q6VVX0,2,Enzyme
DB11155,P04798,2,Enzyme
DB11155,Q16678,2,Enzyme
DB11156,Q02928,2,Enzyme
DB11181,P23141,2,Enzyme
DB11251,P08684,2,Enzyme
DB11251,P78329,2,Enzyme
DB11256,Q99707,2,Enzyme
DB11273,P08684,2,Enzyme
